Video Id,Description,Hashtags,Author Id,Author,Author Nickname,Author Verified,Sound ID,Sound Name,Sound Artist,Sound OriginalPlay Count,Share Count,Comment Count,Play Address,Sound Url
6839416095586159878,Repost 😇 #catsoftiktok #viral #funny #cute #cutness #foryoupage,"catsoftiktok, viral, funny, cute, cutness, foryoupage, 寵物迷因, 目線ショット",6832141644758975494,britishpromise.cats,British Promise Cats,False,6839416100652894982,origineel geluid,British Promise Cats,True,301400000,2800000,468100,https://v16-webapp.tiktok.com/46c512cf4c3e3ea1c3e1a48e46ef9fad/632914f7/video/tos/useast2a/tos-useast2a-ve-0068c004/2362532506c24a66be8a02a69273732d/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2652&bt=1326&cs=0&ds=3&ft=eXd.6HHoMyq8ZwUhshe2NJxwyl7Gb&mime_type=video_mp4&qs=0&rc=ODQ7PGRmOWY7OTxkZ2c2O0BpM2tmOHM1Ojc6dTMzMzczM0BeNGFgX2AtXi0xLTE0X2BjYSNeYm1nLjE0bWlfLS1iMTZzcw%3D%3D&l=202209200018350102171342200E7F81BF&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6839416075390552838.mp3
7068793156183035182,"Thank you God my little Squishy is back from hibernation, fill the cheeks my sweet baby #fyp #welcomeback #cuteanimals #cute #chipmunks #squishy","fyp, WelcomeBack, cuteanimals, cute, chipmunks, squishy",6798572058492339206,chipmunksoftiktok,Chipmunks of TikTok,False,7068793147450854186,original sound,Chipmunks of TikTok,True,225100000,821700,223000,https://v16-webapp.tiktok.com/d37955cf27fd1bbcc59fecd9168c249d/63291508/video/tos/maliva/tos-maliva-ve-0068c799-us/3fc2c69383a447f788defbd6b223308b/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3930&bt=1965&cs=0&ds=3&ft=eXd.6HHoMyq8ZwUhshe2NO0oyl7Gb&mime_type=video_mp4&qs=0&rc=OGg6Zjc2ZGk3NzllaTU5ZUBpM3Rmazk6ZnZwOzMzZzczNEAwMi1fLV8xNWIxLzU1YGI2YSNjMzEvcjQwNGBgLS1kMS9zcw%3D%3D&l=202209200018350102230771541381E1D5&btag=80000,https://sf19.tiktokcdn-us.com/obj/ies-music-tx/7068793156233366318.mp3
7016678652104543494,#nyc #cute #beautiful #fyp #hair #myvideo #mystory #4u #bun,"nyc, cute, beautiful, fyp, hair, myvideo, mystory, 4u, bun, tiktoktaughtme",7013522261571372038,thegrigsbyfamily,TheGrigsbyFamily,False,7016678443194567429,original sound,TheGrigsbyFamily,True,128600000,335700,101500,https://v16-webapp.tiktok.com/301bd325a87860d7b635587f593030ed/63291511/video/tos/useast2a/tos-useast2a-ve-0068c003/9d4c783c0a8f4ce698df829174032e49/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1658&bt=829&cs=0&ds=3&ft=eXd.6HHoMyq8Z2Uhshe2N9Yoyl7Gb&mime_type=video_mp4&qs=0&rc=NzZoMztnaGdoOmZmZjM0M0Bpam15NzU6ZmQ8ODMzNzczM0AvNjQzMi4zXmMxNTNfMF8uYSMtaS82cjRva2RgLS1kMTZzcw%3D%3D&l=202209200018360102230771541381E1FB&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7016678565785783046.mp3
6943996796519681281,Friends 😈❤️ #fypシ゚viral #friends #cute #dogvscat,"fypシ゚viral, friends, cute, dogvscat",6885215690988569606,luna_the_pantera,Luna_the_pantera,False,6712126846424582146,Forgive Me Friend,Smith & Thell,False,132000000,749600,149500,https://v16-webapp.tiktok.com/662f2bbab342c0063827b3df38b4ae21/63291500/video/tos/alisg/tos-alisg-pve-0037c001/2deb7d5b5b974b4faa9dc241f51bb72e/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4202&bt=2101&cs=0&ds=3&ft=eXd.6HHoMyq8Z2Uhshe2NLtwyl7Gb&mime_type=video_mp4&qs=0&rc=Zmk3ZjY4MzRkNjQ0N2Y0NEBpM3hnZ3Bpd3czNDMzOjczM0AwYmMvLl4uNS4xMmIwYjA2YSNwZmMzMDY0Y2NgLS0yMTRzcw%3D%3D&l=202209200018360102230771541381E221&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/c0f7ca12d5a54f218945616a6ec73490
6813835842323320069,Yes I know I have a hole in my shirt lol #plum #deaf #blind #doublemerle #fyp #fypage #cute #dog,"plum, deaf, blind, doublemerle, fyp, fypage, cute, dog, petlife, musiclives, luachonsophan, dacogau, petstv",6772600934720603142,aiden_m365,Aiden Mann,False,6777935271007619074,Surrender,Natalie Taylor,False,98600000,639000,188100,https://v16-webapp.tiktok.com/e0747ac5b8690312c529d06cf3cfddd8/63291507/video/tos/useast2a/tos-useast2a-ve-0068c004/f2fa3c0015cb4181a1bed5f04479d133/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1774&bt=887&cs=0&ds=3&ft=eXd.6HHoMyq8ZqUhshe2N9w9Ll7Gb&mime_type=video_mp4&qs=0&rc=OjY1OTw2ZGg7ZjNoaWg4OUBpM2o2Omh4OzRzdDMzMzczM0A0M2MtMWI1XzQxXi9eMS0zYSNrMi9oLzFfazRfLS0vMTZzcw%3D%3D&l=202209200018370102140290490980F0E4&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/fbc2c96266cd4521bed1d10bd37795c6
7086283973344775470,#fyp #fun #memes #cute #petdog #foryou #funny #pet,"fyp, fun, memes, cute, petdog, foryou, funny, pet",7080819390647731243,lanzk80,Cute pets,False,7083901142652029739,nhạc nền,Pet Funny,True,302300000,995400,135000,https://v16-webapp.tiktok.com/3dddc97ffe19690b22f5c387eae577d5/632914f7/video/tos/maliva/tos-maliva-ve-0068c799-us/4144a5177f4044b1866209df36d2f832/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3168&bt=1584&cs=0&ds=3&ft=eXd.6HHoMyq8ZqUhshe2Nev0yl7Gb&mime_type=video_mp4&qs=0&rc=N2k5PDhkNzY6ZDZlNjU1O0BpM2k1ZDY6ZjlyPDMzZzczNEBjMF81NjAzXmIxMC4uLTReYSNfZm1ucjRvZ19gLS1kMS9zcw%3D%3D&l=202209200018370102140290490980F106&btag=80000,https://sf16.tiktokcdn-us.com/obj/ies-music-tx/7083901168933653294.mp3
6876629809443638533,Dinky wanted to wish everyone a good weekend #foryourpage #vibes #animalsdoingthings #cute #chipmunk #dinky,"foryourpage, vibes, animalsdoingthings, cute, chipmunk, dinky, hilariouspetstiktoktv",6798572058492339206,chipmunksoftiktok,Chipmunks of TikTok,False,6876629868914707205,original sound,Chipmunks of TikTok,True,141400000,542500,134000,https://v16-webapp.tiktok.com/0bb2b59e1aa43c7e7f366e967d5085e7/632914ff/video/tos/useast2a/tos-useast2a-ve-0068c001/fc29a629f9cd483183e71e5f6b38d6ab/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4890&bt=2445&cs=0&ds=3&ft=eXd.6HHoMyq8ZsUhshe2N5eJyl7Gb&mime_type=video_mp4&qs=0&rc=Ojs0M2c6Ozc4PDo0NWlmOEBpajRmZGVud3dldzMzODczM0AuNTVgMF8uNjUxNjM1MGMtYSMvNF5mazZyMWtfLS1fMTZzcw%3D%3D&l=202209200018380102140290490980F118&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6876629768343718661.mp3
6974443868959935750,I can’t stop watching this. 😂😍 #animals #cute,"animals, cute",6734482734481425413,mayimbialik,Mayim Bialik,True,19932,I Believe I Can Fly,James Ingram,False,100700000,630800,182800,https://v16-webapp.tiktok.com/40725241a8ef000ca188d59636f842ce/632914fa/video/tos/useast2a/tos-useast2a-ve-0068c003/3b9ab08956d244ad92f34d013709ae81/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2636&bt=1318&cs=0&ds=3&ft=eXd.6HHoMyq8ZsUhshe2NJTLLl7Gb&mime_type=video_mp4&qs=0&rc=NDdmPDY8NjVnODdnZ2k1NEBpM25lcjdxaGk2NjMzNzczM0BjYi8yMy80Nl4xYC80MjUuYSNycGwvZzNzNDJgLS1kMTZzcw%3D%3D&l=20220920001838010192162048117F72CA&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/0fa234e92e024742943cf6b16bac2be3
6991131155013668102,Wait / Go #fypシ #charlie #wait #go #funny #cute #comedy,"fypシ, charlie, wait, go, funny, cute, comedy, 萌寵搞笑合集",6809110740621706245,charliethechipmunk,Charlie,False,6991131022125550342,original sound,Charlie,True,144400000,223900,88100,https://v16-webapp.tiktok.com/d0a1d66bd4a8438aa082562a2bc21681/632914ff/video/tos/useast2a/tos-useast2a-ve-0068c004/59fd8e4ba7b84d32b9d4a25b73a17c22/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2874&bt=1437&cs=0&ds=3&ft=eXd.6HHoMyq8ZBUhshe2N06eyl7Gb&mime_type=video_mp4&qs=0&rc=ZWQ2ODs1PDNpNmk5OTxmaUBpajl0M2c6ZmVxNzMzNzczM0A1Yi5gNDZhXzExYTU0YTYyYSNrMm1lcjRfbS9gLS1kMTZzcw%3D%3D&l=20220920001838010214029051267EAFC1&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6991131113037007622.mp3
6976163151821769986,Heart officially melted ❤️ Honey has the sweetest soul ✨🐶 #cute #fyp #puppylove #staffylove,"cute, fyp, puppylove, staffylove, 萌寵搞笑合集",6808442245587764230,sarahlawther,Sarah Lawther,False,6976162994099145473,original sound,Sarah Lawther,True,52400000,362800,105100,https://v16-webapp.tiktok.com/6924163f6496ab508118449354c94505/632914fd/video/tos/alisg/tos-alisg-pve-0037c001/fe2eb29a15ed4f55a1b01019841a3c9f/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1886&bt=943&cs=0&ds=3&ft=eXd.6HHoMyq8ZBUhshe2NJTLLl7Gb&mime_type=video_mp4&qs=0&rc=OTk3NzlnNmRnZDw5ZTg3Z0Bpaml2OXU7aXQ3NjMzODczNEA1YV8tMjI0XmIxLTYxNC8uYSMzczNqXzEwcjVgLS1kMS1zcw%3D%3D&l=202209200018390102171342200D7DB360&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6976162978420886274.mp3
