Video Id,Description,Hashtags,Author Id,Author,Author Nickname,Author Verified,Sound ID,Sound Name,Sound Artist,Sound OriginalPlay Count,Share Count,Comment Count,Play Address,Sound Url
6927853379196652802,@whatsondubai #eliefeghaly7 #dubai #uae #visitdubai #amazing #ksa #russia #moscow #fyp #foryoupage #viral #abovetheclouds #italy #india #uk #usa #uae,"eliefeghaly7, dubai, uae, visitdubai, amazing, ksa, russia, moscow, fyp, foryoupage, viral, abovetheclouds, italy, india, uk, usa",6802622695622034437,eliefeghaly7,Elie Feghaly,True,6611368749150767874,In The End - Mellen Gi Remix,Tommee Profitt & Fleurie & Mellen Gi,False,142100000,510100,392800,https://v16-webapp.tiktok.com/a5560ea3ceb9681bb0d472601c53e602/632009de/video/tos/alisg/tos-alisg-pve-0037c001/179fd00bb1df4e3da1c2265bea7f3c85/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2206&bt=1103&cs=0&ds=3&ft=eXd.6HHoMyq8ZH7Xrhe2NEfWyl7Gb&mime_type=video_mp4&qs=0&rc=ZmU3ZjZmZjk4NzwzOjczOUBpM3VxazZrdXZkMzMzOjczM0AvYGEvYzMtXjExXjM2XmIxYSNfb2deaWpob2ZgLS1iMTRzcw%3D%3D&l=2022091222404901018906508012DC5EEA&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/ee731b9e546a4511baa800e4bc456756
6949614461250571526,#stitch con @joy.kyube #nerf#nerfwar#perte#neiperte#LiveForTheChallenge#foryourpage#foryou#foru#4u#parati#america#italy#xyzbca,"stitch, nerf, nerfwar, perte, neiperte, LiveForTheChallenge, foryourpage, foryou, foru, 4u, parati, america, italy, xyzbca",6622997693148135430,_doppiad01,Daniele D' Avanzo,False,6949614377100708614,suono originale,Daniele D' Avanzo,True,72700000,53800,56200,https://v16-webapp.tiktok.com/3d177ad923e42b3b39ea9ec9fd17628f/632009fe/video/tos/useast2a/tos-useast2a-ve-0068c001/6b291ef610074d82b6837b9921a4b57a/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3002&bt=1501&cs=0&ds=3&ft=eXd.6HHoMyq8ZK7Xrhe2NT2oyl7Gb&mime_type=video_mp4&qs=0&rc=OztmMzRmOWRnZWc1NTlpOkBpanBqbTtkcHl5NDMzNzczM0AzLzYtMzNjNjAxNi4tNi1eYSNkX2ZxLzQxbmxgLS1kMTZzcw%3D%3D&l=2022091222404901018906508012DC5F14&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6949614467097430790.mp3
6968840698560875782,Crazy hoodie👕🤯 #tutorial new #trend 😱 How to change hoodie quickly😂 Result coming soon😍 #perte #foryou #italy #fyp #bts #xzbcya #4u #usa #hoodie,"tutorial, trend, perte, foryou, italy, fyp, bts, xzbcya, 4u, usa, hoodie",221059387375824896,paky__official,🔥Paky🔥,False,6965260453589371654,This is justuniplease audio,Dave,True,77300000,18000,14000,https://v16-webapp.tiktok.com/af11e616f9d5b3422e6eb91efbfecc78/632009f8/video/tos/useast2a/tos-useast2a-pve-0068/0f314a41fa1847d28d86bab783bc7c39/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3308&bt=1654&cs=0&ds=3&ft=eXd.6HHoMyq8ZK7Xrhe2NIZJLl7Gb&mime_type=video_mp4&qs=0&rc=Ozw1ZmU0OTk8ZWQ5MzU7aUBpMzxkcHNpZDk3NTMzNzczM0AzNTMwMi5eX14xYWBiLV9jYSMzNGFoY2pra29gLS1kMTZzcw%3D%3D&l=2022091222405001022310602916D9BC84&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6965260552469842693.mp3
7052181029615979803,#aestheticvibes #italy,"aestheticvibes, italy",7026253963012097051,pekruuu,pekruuu,False,7047492658377362177,suara asli - DENII,DENII,True,51500000,145900,47300,https://v16-webapp.tiktok.com/b0a24cb48366a04a6fc8637f9a653db0/632009e2/video/tos/useast2a/tos-useast2a-pve-0037c001-aiso/4790dade1a104d2e9a9d84263d29e64b/?a=1988&ch=0&cr=0&dr=0&lr=tiktok&cd=0%7C0%7C1%7C0&cv=1&br=3998&bt=1999&cs=0&ds=3&ft=eXd.6HHoMyq8ZK7Xrhe2NM_Col7Gb&mime_type=video_mp4&qs=0&rc=N2k8aWg2ZGc6OTYzOjU8aUBpM3hydDM6Zmg5OjMzZjgzM0BhMS0wXmIwNWIxNTJgY2IuYSMtZmU2cjRfLWNgLS1kL2Nzcw%3D%3D&l=202209122240500101921620481FE0FBC7&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7047492655311325953.mp3
6991152637420801285,Crazy transitions!🤪🎈#tutorial on #trend 😱How to make weird transitions without edits📱Want to see the result?😍#perte #foryou #italy #fyp #bts #4u,"tutorial, trend, perte, foryou, italy, fyp, bts, 4u, 影視特效",221059387375824896,paky__official,🔥Paky🔥,False,6975885221149379330,الصوت الأصلي,Nano Skarsgard❤️ฅ^•ﻌ•^ฅ,True,76300000,6396,10300,https://v16-webapp.tiktok.com/4014db7a9ea7d592a4ff6ce090f7928a/632009ed/video/tos/useast2a/tos-useast2a-pve-0068/8be45cc53c68449780aece05ee1f0475/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1528&bt=764&cs=0&ds=3&ft=eXd.6HHoMyq8ZA7Xrhe2NT2oyl7Gb&mime_type=video_mp4&qs=0&rc=aDNnaTM0Nzs0Ozs3Z2Q0NEBpanRybWU6ZmdzNzMzNzczM0AtM2ItMy00NTQxMmA0L2A2YSNmMmRkcjRnLS9gLS1kMTZzcw%3D%3D&l=2022091222405101021702821614E0ADE2&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6975885162106129154.mp3
6797119983374699781,Floating breakfast in Italy @chaletalfoss #foryou #foryoupagе #wintervacay #italy,"foryou, foryoupagе, wintervacay, italy",6762907529895871494,florina_toma,Florina Toma,True,6733128484777921281,Can We Kiss Forever?,Kina,False,50400000,179000,21500,https://v16-webapp.tiktok.com/ed3acfd7f8c66311bd3729ea99f61500/632009f1/video/tos/useast2a/tos-useast2a-ve-0068c001/9a51306b30d4418e938135d6291aff5a/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4418&bt=2209&cs=0&ds=3&ft=eXd.6HHoMyq8ZA7Xrhe2N7.oyl7Gb&mime_type=video_mp4&qs=0&rc=NDg0ZGQ3NWk8NWc8ZTw2aEBpM2x4dWxkeHk2czMzNTczM0BjYzQ2XzZhXy4xNC5eNWFjYSMtYm0yZGBfZF5fLS0vMTZzcw%3D%3D&l=2022091222405101021702821614E0AE0F&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/cc2b6ff1bdd34c6eb91c2c1addc49769
7106166244008594694,Italy🇮🇹 | who’s next?#italy #italia #italyedit #fyp #fypシ #foryou #foryoupage #xyzbca #viral #useheadphones #europa #europe #_theworldx0#world,"italy, italia, italyedit, fyp, fypシ, foryou, foryoupage, xyzbca, viral, useheadphones, europa, europe, _theworldx0, world",7106051221429158918,_theworldx0,<3,False,7106166260664535814,suono originale,<3,True,29500000,94300,87600,https://v16-webapp.tiktok.com/5de50ac4b8f2f7bc541df5f1bf10d5ad/63200a19/video/tos/useast2a/tos-useast2a-ve-0068c002/9c6e7e8977404da195da721692b252be/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2082&bt=1041&cs=0&ds=3&ft=eXd.6HHoMyq8Z47Xrhe2Nnk0yl7Gb&mime_type=video_mp4&qs=0&rc=Nzc8OTlmZTc2Z2ZnODVnOEBpMzd0bjQ6ZnM1ZDMzNzczM0A1NDRiLTIwXzUxXmI0MzRgYSNpZzJkcjRvbGNgLS1kMTZzcw%3D%3D&l=2022091222405201021709408304DE8E68&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7106166250707307270.mp3
6782213965230443782,#basejump from a #cliff in #Italy #montebrento #basejumping #dream,"basejump, cliff, italy, montebrento, basejumping, dream, 극한스포츠, 極限運動",6729566565707432965,marushko,Alexandr Marushko,False,6782200790309391109,original sound,Alexandr Marushko,True,69400000,37000,8197,https://v16-webapp.tiktok.com/cd59d277a4e87f4b70df133e1fa2347a/632009e3/video/tos/maliva/tos-maliva-ve-0068c800-us/92f3570043204062a52fa3e111f3fcab/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3856&bt=1928&cs=0&ds=3&ft=eXd.6HHoMyq8Z47Xrhe2NbPwyl7Gb&mime_type=video_mp4&qs=0&rc=PDNlZjo5NmlkZ2RpZTo2M0Bpamh5NTU5b2RucjMzaDczM0AzYzZiYy5eNTExMGE2MC80YSNtczU2XzYwNGNfLS0wMTZzcw%3D%3D&l=2022091222405201018906601818DDACAE&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1655811700720694.mp3
7099505316605218091,We are going to bring the Mona Lisa back too @Paul 🇫🇷 #lionfieldmusic #comedy #france #italy,"lionfieldmusic, comedy, france, italy",6783784607486821381,lionfieldmusic,lionfield,False,69027124,La Vie en rose,Edith Piaf,False,43000000,20300,19700,https://v16-webapp.tiktok.com/97e0d9b7c3ea4be5b9e711a948c75b9f/632009e9/video/tos/maliva/tos-maliva-ve-0068c799-us/e7e20e10db9f4fc285c5787109bdd572/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2278&bt=1139&cs=0&ds=3&ft=eXd.6HHoMyq8Zg7Xrhe2NEtwyl7Gb&mime_type=video_mp4&qs=0&rc=ZGg1OjNlZTY7aGY2PDk7NkBpanFxOGQ6ZnI7ZDMzZzczNEAwYC1gYC0yNS4xLjUyLzVhYSNsXjZecjRvLzBgLS1kMS9zcw%3D%3D&l=2022091222405301021709408304DE8EBB&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/f63009057abd47d294da16e424fcaabd
6810345008873442565,Like & Share for Part 2 👽🧿❤️ #foryou #viral #fyp #fy #romania #germany #italy #russia #рек,"foryou, viral, fyp, fy, romania, germany, italy, russia, рек",133806228274552832,resanu,Resanu,True,6796993883680017154,nhạc nền - ✨𝓢𝓪𝓶𝓒𝓪𝓷𝓭𝔂🥀,m e i,True,34500000,61300,47500,https://v16-webapp.tiktok.com/763d853d6ffd6630d881060cea245571/632009e4/video/tos/useast2a/tos-useast2a-ve-0068c003/5a0b04d145a04a2399804f844e2b4d1d/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1878&bt=939&cs=0&ds=3&ft=eXd.6HHoMyq8Zg7Xrhe2NPmwyl7Gb&mime_type=video_mp4&qs=0&rc=M2lpNjc1ZmRlOWRoNzU1PEBpMzdxb2h4O25tdDMzODczM0BfYDA1NGIwNjAxL18vYTUvYSNsZmpfLzFfNS5fLS0yMTZzcw%3D%3D&l=202209122240530101921620481FE0FC8F&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6862961633988201218.mp3
