Video Id,Description,Hashtags,Author Id,Author,Author Nickname,Author Verified,Sound ID,Sound Name,Sound Artist,Sound OriginalPlay Count,Share Count,Comment Count,Play Address,Sound Url
7142529977035001134,This is Maverick. He just spotted an intruder. Not sure how to proceed. 13/10 (IG: mavthefloof),,6711833338339017734,weratedogs,weratedogs,True,7142529899998300971,original sound,weratedogs,True,799200,2774,366,https://v16-webapp.tiktok.com/a522a9cc3328ec1723a480f522342381/6320086d/video/tos/maliva/tos-maliva-ve-0068c799-us/d3d07168869a4554a0af3aac2a677467/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1660&bt=830&cs=0&ds=3&ft=eXd.6HHoMyq8ZaTXrhe2NMv4yl7Gb&mime_type=video_mp4&qs=0&rc=aTs1NGc1Ojg2ZWczOWU0aEBpM2dsc2g6ZjhvZjMzZzczNEAwLTQ2L2IwXzYxNGBhYDItYSMuX2pocjRfa2NgLS1kMS9zcw%3D%3D&l=2022091222344301021709522319DDA801&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7142529953010076458.mp3
7133256008717045038,This is Toby. He has perfected the rare double scratch. Truly amazing to behold. 13/10 (IG: negerbomb),,6711833338339017734,weratedogs,weratedogs,True,7133255957462928174,original sound,weratedogs,True,652900,2526,168,https://v16-webapp.tiktok.com/b838e3ed324500da69627ad6e19019de/63200869/video/tos/maliva/tos-maliva-ve-0068c799-us/ec93b05e6cb546acba6a07a4c7fed4fe/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2260&bt=1130&cs=0&ds=2&ft=eXd.6HHoMyq8ZuTXrhe2Ni0ELl7Gb&mime_type=video_mp4&qs=0&rc=OTdkNDY1OGg0NmVpO2RkNkBpamx2eTY6Zmw5ZTMzZzczNEBjXzIzYjUuXzUxNF5hXi0yYSNvMWMxcjRnZ3NgLS1kMS9zcw%3D%3D&l=2022091222344301021402902816E0FBA2&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7133256003432631082.mp3
7131013825578569006,"Our CEO, for those who haven’t been introduced… #douglas #weratedogs","douglas, weratedogs",6711833338339017734,weratedogs,weratedogs,True,6965978022080023301,original sound,ice cream sandwich,True,86400,96,72,https://v16-webapp.tiktok.com/1fffec5bf562938923545da451f1de30/63200870/video/tos/maliva/tos-maliva-ve-0068c799-us/cfc1c55ed7c24eaa83855fd7f9ecdf8a/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2318&bt=1159&cs=0&ds=3&ft=eXd.6HHoMyq8ZuTXrhe2NSSeyl7Gb&mime_type=video_mp4&qs=0&rc=ZDk8Omg5M2c6OzQ2ZGlnNkBpanhkN2g6Znk6ZTMzZzczNEA1YS1fMF8uNV4xYS1gMC80YSM1YWdmcjRnLm9gLS1kMS9zcw%3D%3D&l=2022091222344401021402902816E0FBE1&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6965978092913445637.mp3
7130755676426505518,mission accomplished… #weratedogs #corgi,"weratedogs, corgi",6711833338339017734,weratedogs,weratedogs,True,7123357166307642114,original sound,Liverpool Better,True,141700,11,41,https://v16-webapp.tiktok.com/5eb99f2fb2f1c7000f3c57b78aa97cd4/63200869/video/tos/maliva/tos-maliva-ve-0068c799-us/5cc9367705494bc0af608b66e69f12d2/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1868&bt=934&cs=0&ds=3&ft=eXd.6HHoMyq8ZuTXrhe2NXPwyl7Gb&mime_type=video_mp4&qs=0&rc=Nmk8ZGU7N2Y5OjVpOzdlM0BpMzVmNzs6ZjNyZTMzZzczNEAtYWNjMGEtNS0xMy4tLzMxYSNtZ2xecjQwZW5gLS1kMS9zcw%3D%3D&l=202209122234440102170870710CDB9FC9&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/7123357148469676801.mp3
7120246149763681582,We hosted a dog friendly movie screening for Paws of Fury and IT. WAS. MAGICAL @paramountpics #ad #weratedogs  #pawsoffury #redcarpet #movie,"ad, weratedogs, pawsoffury, redcarpet, movie",6711833338339017734,weratedogs,weratedogs,True,7065828972470241282,Just Groovin,Kingsbury Kids,False,2700000,5013,1653,https://v16-webapp.tiktok.com/f7d2a0d6313672dcb3f61879fa208d37/632008a1/video/tos/maliva/tos-maliva-ve-0068c799-us/9817b29644a84c868def6f330c1fbae3/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=4138&bt=2069&cs=0&ds=3&ft=eXd.6HHoMyq8ZdTXrhe2NJ1eyl7Gb&mime_type=video_mp4&qs=0&rc=Njk5Mzs3PDwzOTY0aDY0Z0BpM2g0aWk6ZnA1ZTMzZzczNEAvLTM1NGI1NTYxXi9hYl5hYSNgYDI0cjRvcjVgLS1kMS9zcw%3D%3D&l=202209122234450101920591601ADC041F&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/a326427cde064663b1c20a1818e566a5
7068691539433917742,Top 5 Dogs of the Week (part 7) #weratedogs,weratedogs,6711833338339017734,weratedogs,weratedogs,True,6777331815179880449,Paper Birds (3 min),Jordan Halpern Schwartz,False,281600,1534,695,https://v16-webapp.tiktok.com/876e35688c1ad3f65270f543836205d3/632008e0/video/tos/maliva/tos-maliva-ve-0068c799-us/61961d120788467f998dec64be527c8c/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1556&bt=778&cs=0&ds=3&ft=eXd.6HHoMyq8ZdTXrhe2Nb4Jyl7Gb&mime_type=video_mp4&qs=0&rc=OTQzNzc3Zmg7OGdoNWg1M0BpMzR1djw6ZmlqOzMzZzczNEAzYmAwYTZhNmIxMDFiLzVhYSMvY2BvcjRnYmBgLS1kMS9zcw%3D%3D&l=202209122234450101920591601ADC044F&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/8991638eb9704ce8ab6abd7c75c5bd9f
7066081222916853038,Top 5 Dogs of the Week (part 6) #weratedogs,weratedogs,6711833338339017734,weratedogs,weratedogs,True,6777274113258948609,Metamorphosis,Danilo Stankovic,False,108600,743,303,https://v16-webapp.tiktok.com/525bfe8c5295ed60b7e2fa0e0e8352b2/6320090a/video/tos/maliva/tos-maliva-ve-0068c799-us/f3ef92f222cd40889c69e124dbfdd71c/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1892&bt=946&cs=0&ds=3&ft=eXd.6HHoMyq8Z9TXrhe2Nytwyl7Gb&mime_type=video_mp4&qs=0&rc=aDg0Zjw8OmY7NTxmOGRkOEBpMzRqbmk6ZnJ2OzMzZzczNEBiNTUwYS1fXmMxMF4xMmEvYSNhbGJycjRfMTRgLS1kMS9zcw%3D%3D&l=2022091222344601021402902808DB8D6E&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/7955c58cabe647fa9f51721eacdd4f79
7065844357538024751,"This is Ozzy. He is so sneaky. If you see him, it's already too late. 12/10 would accept my fate (IG: ozzyraythegolden)",,6711833338339017734,weratedogs,weratedogs,True,7065844345160731439,original sound,weratedogs,True,606300,4863,541,https://v16-webapp.tiktok.com/08a612ad392f7fee2068d7338e3628d7/63200878/video/tos/maliva/tos-maliva-ve-0068c799-us/af1372d9c7ae4954b9447cd10c9d05ac/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1590&bt=795&cs=0&ds=3&ft=eXd.6HHoMyq8Z9TXrhe2NIZJLl7Gb&mime_type=video_mp4&qs=0&rc=NDc8NWg4OzRmZTYzZDc4OkBpamY2bmk6ZmhoOzMzZzczNEAtYmEtLTQxNTYxMTY1MmNgYSNtZmJycjRvYjRgLS1kMS9zcw%3D%3D&l=2022091222344601021708707106DF25F6&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/ies-music-ttp-dup-us/7065844358318263087.mp3
7063494918635048239,Top 5 Dogs of the Week (part 5) #weratedogs,weratedogs,6711833338339017734,weratedogs,weratedogs,True,6777274113254754306,Pieces (Solo Piano Version),Danilo Stankovic,False,234700,593,465,https://v16-webapp.tiktok.com/95419150255cda7cf0a97853a3c27cf6/63200914/video/tos/maliva/tos-maliva-ve-0068c799-us/6f7621f7e63440e9a4759d6a00f19d4e/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1876&bt=938&cs=0&ds=3&ft=eXd.6HHoMyq8ZGTXrhe2N~_ELl7Gb&mime_type=video_mp4&qs=0&rc=ZzkzaDM2aDQ8Z2g1NjM4PEBpM3JlNTU6Zmk7OzMzZzczNEBgMTJjLjBeXy4xMGMyMWFgYSNhYWc2cjRfczBgLS1kMS9zcw%3D%3D&l=202209122234470101920591601ADC04DE&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/36c45fbf26c943c0ab9627251afd960b
7058295352721411374,Top 5 Dogs of the Week (part 4) #weratedogs,weratedogs,6711833338339017734,weratedogs,weratedogs,True,6777274112671746049,Metamorphosis (Longer Version) v2,Danilo Stankovic,False,148000,948,404,https://v16-webapp.tiktok.com/dcb0d646e53e03ec8716e5c6360db523/6320091b/video/tos/maliva/tos-maliva-ve-0068c799-us/a7c2c04795c14e84b2d646ee74805c22/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1780&bt=890&cs=0&ds=3&ft=eXd.6HHoMyq8ZlTXrhe2NYUTyl7Gb&mime_type=video_mp4&qs=0&rc=Ozw8Ozk5ZDQzZWk7Nzg8OkBpM3lodjc6Zmo0OjMzZzczNEAtMC01YjQuNjIxNjI2LmBfYSMzNmFwcjRfZW5gLS1kMS9zcw%3D%3D&l=2022091222344801021402902808DB8E19&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/tos-useast2a-ve-2774/262d7c9ae1974411b4a3a5c6e3b03903
